Type,Start,End,Duration,Distance,"Average Heart Rate","Max Heart Rate","Average Pace","Average Speed"
"Other","2017-09-10 10:17","2017-09-10 11:27","1:10:12","0.0","98.9052132701422","140.0",,"0.0"
"Other","2017-09-07 19:29","2017-09-07 20:30","1:01:09","0.0","123.309978768577","162.0",,"0.0"
"Other","2017-09-03 11:12","2017-09-03 12:16","1:04:47","0.0","103.567251461988","127.0",,"0.0"
"Traditional Strength Training","2017-09-01 19:08","2017-09-01 20:24","1:16:00",,"87.2222222222222","104.0",,
"Other","2017-08-26 13:11","2017-08-26 14:14","1:02:38","0.0","127.40412979351","164.0",,"0.0"
"Other","2017-08-22 19:07","2017-08-22 19:48","0:40:29","0.0","132.8779342723","158.0",,"0.0"
"Other","2017-08-16 21:36","2017-08-16 22:08","0:31:19","0.0","122.766081871345","155.0",,"0.0"
"Other","2017-08-06 17:52","2017-08-06 18:22","0:30:03","0.0","119.301886792453","141.0",,"0.0"
"Other","2017-07-30 20:51","2017-07-30 21:05","0:14:02","0.0","113.534482758621","144.0",,"0.0"
"Other","2017-07-23 19:03","2017-07-23 19:14","0:11:35","0.0","108.0625","135.0",,"0.0"
"Other","2017-07-09 11:17","2017-07-09 11:33","0:15:51","0.0","114.7109375","140.0",,"0.0"
"Other","2017-07-03 21:36","2017-07-03 21:47","0:10:53","0.0","113.8375","152.0",,"0.0"
"Other","2017-05-23 20:34","2017-05-23 20:54","0:20:20","0.0","127.006369426752","150.0",,"0.0"
"Other","2017-05-18 19:45","2017-05-18 20:03","0:17:07","0.0","131.394230769231","162.0",,"0.0"
"Other","2017-05-14 18:31","2017-05-14 18:56","0:25:29","0.0","138.248780487805","164.0",,"0.0"
"Other","2017-04-27 20:19","2017-04-27 20:47","0:28:25","0.0","135.766233766234","183.0",,"0.0"
"Walking","2017-04-21 19:16","2017-04-21 19:52","0:36:03","2.39842067888251","113.275324675325","128.0","0:15:02","3.99077344046068"
"Other","2017-04-14 18:56","2017-04-14 19:20","0:23:35","0.0","133.731707317073","176.0",,"0.0"
"Walking","2017-04-01 14:01","2017-04-01 14:16","0:15:27","1.23971760736569","105.831081081081","132.0","0:12:27","4.81413289806748"
"Traditional Strength Training","2017-03-25 11:29","2017-03-25 12:25","0:55:51","0.0","105.750980392157","140.0",,"0.0"
"Other","2017-03-24 20:05","2017-03-24 21:18","1:13:36","0.0","130.646942800789","177.0",,"0.0"
"Climbing","2017-03-22 21:01","2017-03-22 22:01","1:00:00",,"95.4285714285714","129.0",,
"Traditional Strength Training","2017-03-18 18:30","2017-03-18 19:31","1:00:57","0.0","115.853808630949","137.0",,"0.0"
"Dance","2017-03-17 20:00","2017-03-17 21:00","1:00:00",,"88.8","111.0",,
"Traditional Strength Training","2017-03-16 20:10","2017-03-16 20:31","0:21:00",,"81.25","95.0",,
"Climbing","2017-03-15 20:00","2017-03-15 21:00","1:00:00",,"87.6666666666667","113.0",,
"Traditional Strength Training","2017-02-02 19:07","2017-02-02 19:28","0:21:37","0.0","127.470085470085","174.0",,"0.0"
"Traditional Strength Training","2017-01-28 13:52","2017-01-28 14:32","0:40:26","0.0","123.33185840708","169.0",,"0.0"
"Traditional Strength Training","2017-01-23 20:21","2017-01-23 21:04","0:42:20","0.0","125.642823190863","153.0",,"0.0"
"Traditional Strength Training","2017-01-19 19:45","2017-01-19 20:42","0:56:08","0.0","128.152654599694","162.0",,"0.0"
"Traditional Strength Training","2016-12-27 16:24","2016-12-27 16:48","0:24:09","0.0","129.121925693354","167.0",,"0.0"
"Walking","2016-12-19 19:12","2016-12-19 19:26","0:14:30","1.22329497824854","116.238095238095","130.0","0:11:51","5.05956129269122"
"Traditional Strength Training","2016-12-18 17:20","2016-12-18 17:30","0:09:47","0.0","125.522388059701","160.0",,"0.0"
"Traditional Strength Training","2016-12-17 21:05","2016-12-17 21:07","0:01:20","0.0","87.8333333333333","129.0",,"0.0"
"Walking","2016-12-17 13:19","2016-12-17 13:34","0:14:06","1.22542469233941","107.8203125","122.0","0:11:30","5.21294758811602"
"Walking","2016-12-11 13:13","2016-12-11 13:26","0:12:51","1.18496729236303","111.896","125.0","0:10:51","5.52659615296212"
"Other","2016-12-10 15:35","2016-12-10 15:36","0:01:37","0.0","64.2857142857143","65.0",,"0.0"
"Rowing","2016-12-10 15:30","2016-12-10 15:33","0:03:09","0.0","125.2","141.0",,"0.0"
"Running","2016-12-10 15:05","2016-12-10 15:29","0:24:44","1.79440000000002","119.978813559322","135.0","0:13:47","4.35185363713207"
"Running","2016-11-26 17:02","2016-11-26 17:04","0:02:44","0.12601","139.833333333333","141.0","0:21:47","2.75342703312656"
"Other","2016-11-26 16:59","2016-11-26 17:01","0:02:13","0.0","101.75","150.0",,"0.0"
"Other","2016-11-26 16:56","2016-11-26 16:57","0:01:13","0.0","121.0","121.0",,"0.0"
"Rowing","2016-11-26 16:52","2016-11-26 16:54","0:02:05","0.0","128.266666666667","135.0",,"0.0"
"Running","2016-11-26 16:42","2016-11-26 16:52","0:09:43","0.981340000000011","132.315789473684","162.0","0:09:54","6.05085770916016"
"Mixed Metabolic Cardio Training","2016-10-23 11:14","2016-10-23 11:49","0:35:47","0.0","86.5588235294118","98.0",,"0.0"
"Mixed Metabolic Cardio Training","2016-10-09 11:37","2016-10-09 12:08","0:31:16","0.0",,,,"0.0"
"Other","2016-09-24 11:01","2016-09-24 11:32","0:31:12","0.0",,,,"0.0"
"Running","2016-09-19 17:53","2016-09-19 18:22","0:28:15","1.30171","111.48","131.0","0:21:42","2.76388502244913"
"Other","2016-09-17 12:24","2016-09-17 13:22","0:58:12","0.0","111.075","140.0",,"0.0"
"Running","2016-07-03 11:17","2016-07-03 11:56","0:39:21","3.92833","88.8333333333333","102.0","0:10:01","5.9882090361857"
"Running","2016-05-08 18:37","2016-05-08 18:52","0:15:37","2.13013","141.96","153.0","0:07:20","8.17547847274345"
"Traditional Strength Training","2016-03-29 21:49","2016-03-29 21:55","0:06:20","0.0","105.625","124.0",,"0.0"
"Traditional Strength Training","2016-03-28 22:20","2016-03-28 22:24","0:04:03","0.0","154.5","175.0",,"0.0"
"Traditional Strength Training","2016-03-27 17:16","2016-03-27 17:18","0:02:11","0.0","135.75","143.0",,"0.0"
